City,Year,zhuanli,keji,jiaoyu,rgdp,gongye,waizi,renkou
1,2018,106948,3617191,9645817,118198,3231,544,1359
1,2019,123496,4258712,10255068,140211,3197,543,1376
1,2020,131716,4334165,11360185,164220,3121,495,1397
1,2021,162824,4109628,11382891,164889,3028,470,2189
1,2022,198778,4494463,11478293,183980,3073,514,1414
2,2018,41675,1159606,4352701,115053,4286,966,1050
2,2019,54680,1057097,4466652,120711,4292,967,1082
2,2020,57799,1099548,4669789,90371,4614,937,1108
2,2021,75434,1181712,4429121,101614,5120,879,1387
2,2022,97910,1039691,4792461,113732,5662,909,1152
3,2018,7501,100610,1676709,55177,2638,47,973
3,2019,11450,118720,1971155,55723,2189,44,982
3,2020,13847,123373,2144377,52859,2097,39,1052
3,2021,20498,152812,2185270,52961,2183,33,1124
3,2022,26780,153639,2269961,57830,2370,43,1051
4,2018,3677,71110,1337546,81239,1630,62,755
4,2019,5308,89057,1451959,87855,1712,63,758
4,2020,7102,98211,1560263,86667,1761,58,756
4,2021,11357,123386,1657621,93470,1837,55,772
4,2022,13873,134692,1785522,106784,2041,59,751
5,2018,3021,30410,508832,73755,361,49,298
5,2019,2884,30638,556567,52380,375,48,300
5,2020,3178,31044,607284,51334,393,43,301
5,2021,4386,22078,611296,53821,429,40,314
5,2022,5102,28114,584892,58774,459,40,300
6,2018,2435,50523,1163136,35265,1344,12,1051
6,2019,3910,53089,1193602,36289,1285,8,1058
6,2020,4053,66530,1358561,36546,1312,12,1061
6,2021,6758,69913,1479572,38623,1435,15,941
6,2022,8476,72454,1461664,43817,1662,13,1061
7,2018,5506,44738,1445318,29992,1828,58,1199
7,2019,8102,43063,1654492,31057,1866,57,1208
7,2020,8130,56776,1860080,31856,1575,55,1215
7,2021,13123,50426,1915839,34269,1645,47,1155
7,2022,17894,122425,1931191,38157,2034,52,1208
8,2018,985,20821,799876,33142,446,21,465
8,2019,1346,28555,783868,34661,371,17,465
8,2020,1606,23308,836265,35025,404,17,465
8,2021,2543,36650,875496,38637,452,16,412
8,2022,3685,34441,846419,42049,515,17,458
9,2018,3494,66840,969083,58972,1180,116,474
9,2019,5547,56004,1079121,64906,1130,102,479
9,2020,5941,74277,1237214,65512,1137,94,483
